y
0.0
0.06
0.119
0.176
0.233
0.288
0.342
0.394
0.446
0.496
0.545
0.593
0.639
0.684
0.728
0.771
0.813
0.853
0.893
0.931
0.967
1.003
1.037
1.07
1.102
1.133
1.162
1.19
1.217
1.243
1.267
1.29
1.313
1.333
1.353
1.371
1.388
1.404
1.419
1.433
1.445
1.456
1.466
1.474
1.481
1.488
1.493
1.496
1.499
1.5
1.5
1.499
1.496
1.493
1.488
1.481
1.474
1.466
1.456
1.445
1.433
1.419
1.404
1.388
1.371
1.353
1.333
1.313
1.29
1.267
1.243
1.217
1.19
1.162
1.133
1.102
1.07
1.037
1.003
0.967
0.931
0.893
0.853
0.813
0.771
0.728
0.684
0.639
0.593
0.545
0.496
0.446
0.394
0.342
0.288
0.233
0.176
0.119
0.06
0.0
