y
0.0
0.0
0.0
0.0
0.001
0.003
0.007
0.012
0.019
0.029
0.043
0.06
0.081
0.107
0.137
0.172
0.212
0.258
0.309
0.364
0.425
0.491
0.562
0.637
0.717
0.8
0.886
0.975
1.066
1.159
1.254
1.348
1.443
1.536
1.629
1.719
1.806
1.891
1.971
2.047
2.118
2.183
2.243
2.296
2.342
2.381
2.412
2.436
2.452
2.46
2.46
2.452
2.436
2.412
2.381
2.342
2.296
2.243
2.183
2.118
2.047
1.971
1.891
1.806
1.719
1.629
1.536
1.443
1.348
1.254
1.159
1.066
0.975
0.886
0.8
0.717
0.637
0.562
0.491
0.425
0.364
0.309
0.258
0.212
0.172
0.137
0.107
0.081
0.06
0.043
0.029
0.019
0.012
0.007
0.003
0.001
0.0
0.0
0.0
0.0
