y
0.0
0.001
0.005
0.011
0.019
0.029
0.041
0.056
0.072
0.09
0.11
0.132
0.155
0.18
0.206
0.234
0.263
0.293
0.325
0.357
0.391
0.425
0.461
0.497
0.534
0.572
0.61
0.649
0.688
0.728
0.768
0.808
0.848
0.889
0.929
0.97
1.01
1.05
1.089
1.129
1.167
1.206
1.244
1.281
1.317
1.352
1.387
1.421
1.453
1.485
1.515
1.544
1.572
1.598
1.623
1.646
1.668
1.688
1.706
1.722
1.736
1.749
1.759
1.767
1.773
1.777
1.778
1.777
1.773
1.766
1.757
1.746
1.731
1.714
1.693
1.67
1.643
1.613
1.58
1.544
1.504
1.461
1.414
1.363
1.309
1.251
1.189
1.123
1.053
0.98
0.902
0.819
0.733
0.642
0.546
0.446
0.342
0.233
0.119
0.0
