y
0.0
0.0
0.0
0.001
0.003
0.009
0.021
0.041
0.071
0.115
0.174
0.251
0.345
0.459
0.592
0.742
0.909
1.09
1.283
1.485
1.693
1.902
2.109
2.312
2.505
2.686
2.853
3.001
3.13
3.237
3.321
3.381
3.417
3.429
3.417
3.383
3.327
3.251
3.158
3.048
2.924
2.788
2.643
2.491
2.334
2.173
2.012
1.852
1.695
1.541
1.393
1.251
1.117
0.991
0.873
0.765
0.665
0.574
0.492
0.419
0.354
0.296
0.246
0.203
0.165
0.134
0.107
0.085
0.067
0.052
0.04
0.03
0.022
0.016
0.012
0.008
0.006
0.004
0.003
0.002
0.001
0.001
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
